company_name,city,state,pin_code,company_type,contact_number,company_website
 KVR Motor Cars Pvt Ltd  ,Kozhikode,Kerala,673005, SMEs, (0495) 8129666222,"<a href=""http://www.kvrfiat.com""  target=""_blank"">www.kvrfiat.com</a>"
 Kusumgar Hero  ,Nagpur,Maharashtra,440009, SMEs, (0712) 2746394,"<a href=""http://www.kusumgargroup.com""  target=""_blank"">www.kusumgargroup.com</a>"
 Kushal Bajaj  ,Amravati,Maharashtra,444605, SMEs, (0721) 2576346 9175779878,Website Not Found
" Kurnool Suzuki, Kurnool  ",Kurnool,AndhraPradesh,518004, SMEs, (08518) 220272  220922,Website Not Found
 Kundan Industries Ltd  ,Mumbai,Maharashtra,400003, Industry Top, (022) 61521234,"<a href=""http://www.kundan.com""  target=""_blank"">www.kundan.com</a>"
 Kundan Hyundai  ,Pune,Maharashtra,411033, Industry Top, (020) 66331111,"<a href=""http://www.hyundai.com""  target=""_blank"">www.hyundai.com</a>"
 Kundan Hero  ,Singrauli,MadhyaPradesh,486886, Industry Top, (07805) 9926395243,Website Not Found
 Kundan Automobiles  ,Pune,Maharashtra,411021, Industry Top, (020) 66542424,Website Not Found
" Kundan Agencies, Singrauli  ",Singrauli,MadhyaPradesh,486886, SMEs, (07805) 9926395243,Website Not Found
 Kunal Motors  ,Chhindwara,MadhyaPradesh,480002, Industry Top, (07162) 236600  236101,Website Not Found
 Kun United Hyundai  ,Hyderabad,Telangana,500084, SMEs, (040) 43444344,"<a href=""http://www.kununited.com""  target=""_blank"">www.kununited.com</a>"
" KUN Motoren Pvt Ltd, Hyderabad B & PWS  ",Hyderabad,Telangana,500020, SMEs, (040) 44656546,Website Not Found
" KUN Motoren Pvt Ltd, Hyderabad 4S  ",Hyderabad,Telangana,500082, Industry Top, (040) 44656565,Website Not Found
" KUN Motor Company Pvt Ltd, Express Avenue Mall Showroom  ",Chennai,TamilNadu,600014, Industry Top, (044) 28464441,Website Not Found
" KUN Motor Company Pvt Ltd, Chennai 4S  ",Chennai,TamilNadu,600027, SMEs, (044) 42911111,Website Not Found
